id,context,english
ui.map-mode.military.hint.garrison,"Province hover hint, military mode. {men} is a troop count, {owner} the house whose force is strongest there.","[{men} men here, the strongest under {owner}]"
ui.map-mode.order.hint,"Province hover hint, order mode. {percent} is provincial order as a percentage; {pressure} is a phrase describing what is pushing on it.","[Order {percent}% — {pressure}]"
ui.map-mode.order.hint.revolt,"Second line of the order-mode hover hint, shown only when the province is in unrest and counting down. {days} is a number of days.","[In unrest: revolts in {days} days]"
ui.map-mode.relations.hint.opinion,"Province hover hint, relations mode. {holder} is a house name; {opinion} is a signed number such as +40 or -15.","[{holder} regards your house at {opinion}]"
ui.map-mode.relations.hint.unclaimed,"Province hover hint, relations mode, when nobody holds the province.","[Unclaimed]"
ui.map-mode.relations.hint.you,"Province hover hint, relations mode, for the player's own holdings.","[Your own holding]"
ui.map-mode.relations.value.you,"Value printed on the player's own provinces in relations mode. Kept short — it is drawn on the globe.","[you]"
ui.map-mode.wealth.hint,"Province hover hint, wealth mode. {output} is the province's monthly wealth output.","[Worth {output} wealth a month at full order]"
ui.situation.occupied.detail,"Body of the needs-attention item for an occupied province. {occupier} is a house name, {men} a troop count, {province} the province name.","[{occupier} has {men} men standing in {province}, and its order is falling while they remain.]"
ui.situation.occupied.headline,"Headline of the needs-attention item when someone else's troops are standing on the player's ground. Kept very short — it sits in a narrow strip.","[{province} occupied]"
ui.situation.restive.detail,"Body of the needs-attention item for a province with falling order. {percent} is provincial order as a percentage.","[Order in {province} has fallen to {percent}%. It will not recover unless you attend to it.]"
ui.situation.restive.headline,"Headline of the needs-attention item for a province whose order has fallen well below its starting level. Kept very short.","[{province} is restive]"
ui.situation.revolt.detail,"Body of the needs-attention item for a province about to revolt, naming the ways out.","[{province} is in open unrest. Garrison it, go there in person, or hold court to restore order before it throws you off.]"
ui.situation.revolt.headline,"Headline of the needs-attention item for a province counting down to revolt. {days} is a number of days; the d is an abbreviation for days. Kept very short.","[{province} revolts in {days}d]"
